player,source,stage,group_name,home_team,away_team,kickoff_utc,predicted_score,pick,actual_score,result,pick_correct,exact_score,points,running_points,total_match_points,champion_bonus,overall_points,matches_scored,correct_picks,exact_scores
Me,harry,group,E,Ecuador,Germany,2026-06-25T20:00:00+00:00,0-2,away,2-1,home,0,0,0,28,68,5,73,81,46,11
Me,harry,group,E,Curaçao,Ivory Coast,2026-06-25T20:00:00+00:00,0-2,away,0-2,away,1,1,3,31,68,5,73,81,46,11
Market,crowd,group,F,Japan,Sweden,2026-06-25T23:00:00+00:00,1-0,home,1-1,draw,0,0,0,39,61,10,71,81,45,8
Market,crowd,group,F,Tunisia,Netherlands,2026-06-25T23:00:00+00:00,0-3,away,1-3,away,1,0,1,40,61,10,71,81,45,8
Model,pele,group,F,Japan,Sweden,2026-06-25T23:00:00+00:00,1-0,home,1-1,draw,0,0,0,34,65,8,73,81,43,11
Model,pele,group,F,Tunisia,Netherlands,2026-06-25T23:00:00+00:00,0-0,draw,1-3,away,0,0,0,34,65,8,73,81,43,11
Me,harry,group,F,Japan,Sweden,2026-06-25T23:00:00+00:00,1-1,draw,1-1,draw,1,1,3,34,68,5,73,81,46,11
Me,harry,group,F,Tunisia,Netherlands,2026-06-25T23:00:00+00:00,0-3,away,1-3,away,1,0,1,35,68,5,73,81,46,11
Market,crowd,group,D,Paraguay,Australia,2026-06-26T02:00:00+00:00,1-0,home,0-0,draw,0,0,0,40,61,10,71,81,45,8
Market,crowd,group,D,Türkiye,United States,2026-06-26T02:00:00+00:00,1-2,away,3-2,home,0,0,0,40,61,10,71,81,45,8
Model,pele,group,D,Paraguay,Australia,2026-06-26T02:00:00+00:00,0-0,draw,0-0,draw,1,1,3,37,65,8,73,81,43,11
Model,pele,group,D,Türkiye,United States,2026-06-26T02:00:00+00:00,0-0,draw,3-2,home,0,0,0,37,65,8,73,81,43,11
Me,harry,group,D,Paraguay,Australia,2026-06-26T02:00:00+00:00,1-1,draw,0-0,draw,1,0,1,36,68,5,73,81,46,11
Me,harry,group,D,Türkiye,United States,2026-06-26T02:00:00+00:00,1-1,draw,3-2,home,0,0,0,36,68,5,73,81,46,11
Market,crowd,r32,,South Africa,Canada,2026-06-28T19:00:00+00:00,0-1,away,0-1,away,1,1,3,43,61,10,71,81,45,8
